      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE0417-0821       62  5811   100  4.83  0.24  0.34 -2.33  0.12  0.17  1.40  0.14  0.24      6.31  0.18  0.23    0.25  0.16  0.25   1  1      5.49  0.12  0.18    0.24  0.14  0.24   7  3      3.39  0.11  0.21   -0.75  0.15  0.25   1  1      4.26  0.12  0.20    0.23  0.14  0.24   9  8      0.97  0.17  0.22    0.13  0.16  0.26   5  2      2.95  0.15  0.21    0.26  0.15  0.25  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.24  0.13  0.20   -0.10  0.15  0.23   3  3      2.69  0.16  0.20   -0.37  0.15  0.24   5  3      5.17  0.12  0.17    0.00  0.14  0.22  55 41      2.78  0.16  0.22    0.19  0.15  0.25   6  4      3.92  0.15  0.21    0.00  0.16  0.23   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.48  0.16  0.24   -0.16  0.17  0.27   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.56  0.18  0.23   -0.36  0.17  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0430-4404       49  6214   100  4.27  0.25  0.35 -2.07  0.11  0.17  1.41  0.14  0.24      7.75  0.15  0.22    1.44  0.16  0.26   1  1      5.79  0.11  0.17    0.29  0.15  0.23   7  3      3.42  0.14  0.22   -0.97  0.16  0.25   1  1      4.61  0.11  0.20    0.33  0.15  0.25   9  7      1.28  0.17  0.23    0.19  0.17  0.26   5  3      3.26  0.16  0.21    0.32  0.16  0.25  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.57  0.15  0.21   -0.02  0.16  0.23   3  3      2.84  0.15  0.20   -0.47  0.15  0.24   5  3      5.42  0.11  0.17    0.00  0.14  0.22  55 41      2.94  0.15  0.21    0.10  0.15  0.25   6  3      4.18  0.15  0.21    0.01  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.45  0.14  0.23    0.56  0.16  0.25   3  2      0.76  0.18  0.23    0.60  0.17  0.26   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.67  0.14  0.18    1.62  0.15  0.23   2  2      0.50  0.17  0.22    1.41  0.17  0.26   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0430-4901       50  5296   100  3.12  0.25  0.35 -2.72  0.12  0.18  1.32  0.13  0.23      5.76  0.19  0.25    0.09  0.18  0.27   1  1      5.03  0.11  0.19    0.17  0.16  0.24   7  5      2.57  0.15  0.22   -1.18  0.16  0.25   1  1      3.76  0.12  0.20    0.12  0.14  0.25   9  7      0.42  0.18  0.23   -0.03  0.16  0.26   5  4      2.43  0.16  0.21    0.13  0.16  0.25  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.62  0.17  0.24   -0.33  0.16  0.24   3  3      1.96  0.17  0.21   -0.71  0.16  0.24   5  3      4.78  0.12  0.18    0.00  0.14  0.22  55 46      2.25  0.16  0.22    0.04  0.15  0.25   6  5      3.50  0.17  0.22   -0.03  0.17  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.25  0.18  0.27   -0.01  0.18  0.28   3  2     -0.45  0.19  0.24    0.02  0.17  0.27   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.08  0.22  0.27    0.50  0.20  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.05  0.18  0.23    1.16  0.17  0.27   4  3
        HE0432-0923       74  5131   100  2.64  0.23  0.33 -3.19  0.13  0.18  1.54  0.12  0.22      5.44  0.18  0.25    0.24  0.17  0.27   1  1      4.73  0.11  0.18    0.34  0.16  0.24   7  5      2.32  0.14  0.22   -0.96  0.15  0.25   1  1      3.49  0.11  0.20    0.32  0.15  0.25   9  6      0.07  0.17  0.22    0.09  0.15  0.24   5  4      2.16  0.15  0.21    0.33  0.14  0.23  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.97  0.16  0.21   -0.51  0.15  0.23   3  3      1.47  0.21  0.24   -0.73  0.17  0.25   5  3      4.31  0.13  0.18    0.00  0.14  0.22  55 41      2.03  0.16  0.22    0.29  0.15  0.24   6  5      3.17  0.18  0.24    0.11  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.26  0.17  0.26    0.47  0.16  0.27   3  2     -0.44  0.18  0.22    0.51  0.15  0.24   6  3      0.29  0.18  0.22    0.88  0.15  0.25   3  1     -0.34  0.20  0.26    0.72  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.43  0.18  0.23    1.25  0.15  0.24   4  2
        HE0436-4008       40  5431   100  3.34  0.24  0.34 -2.35  0.12  0.18  1.30  0.14  0.24      6.53  0.19  0.25    0.49  0.17  0.26   1  1      5.45  0.15  0.20    0.22  0.15  0.24   7  5      2.94  0.18  0.25   -1.18  0.19  0.28   1  1      4.26  0.12  0.20    0.25  0.14  0.24   9  8      0.86  0.18  0.23    0.05  0.16  0.26   5  4      2.97  0.16  0.21    0.30  0.15  0.24  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.17  0.17  0.25   -0.15  0.17  0.25   3  3      2.63  0.16  0.21   -0.41  0.16  0.24   5  3      5.15  0.12  0.18    0.00  0.14  0.22  55 49      2.75  0.15  0.22    0.18  0.15  0.25   6  5      3.97  0.19  0.27    0.07  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.95  0.14  0.22    0.33  0.15  0.24   3  2      0.01  0.18  0.23    0.12  0.17  0.26   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.48  0.22  0.27   -0.26  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0441-4343       44  5629   100  3.59  0.25  0.35 -2.52  0.12  0.18  1.29  0.15  0.25      6.20  0.18  0.24    0.33  0.17  0.26   1  1      5.37  0.12  0.18    0.32  0.15  0.23   7  4      2.86  0.15  0.23   -1.09  0.17  0.26   1  1      4.02  0.11  0.20    0.18  0.15  0.24   9  7      0.78  0.18  0.24    0.13  0.17  0.26   5  4      2.77  0.16  0.21    0.27  0.15  0.24  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.78  0.16  0.22   -0.36  0.15  0.23   3  3      2.23  0.16  0.21   -0.63  0.16  0.24   5  3      4.98  0.12  0.18    0.00  0.14  0.22  55 40      2.74  0.16  0.22    0.34  0.15  0.25   6  3      3.79  0.18  0.25    0.07  0.17  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.34  0.21  0.30   -0.10  0.20  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.99  0.19  0.24   -0.59  0.17  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0442-1234       77  4604   100  1.34  0.24  0.34 -2.41  0.14  0.20  2.21  0.12  0.22      5.37  0.22  0.27   -0.61  0.18  0.27   1  1      5.48  0.11  0.18    0.32  0.15  0.24   7  5      3.72  0.14  0.24   -0.34  0.15  0.25   1  1      4.14  0.12  0.20    0.20  0.15  0.25   9  9      0.91  0.18  0.23    0.16  0.15  0.24   5  5      2.76  0.16  0.21    0.15  0.14  0.23  17 17      1.49  0.17  0.21   -0.09  0.15  0.23   3  3      2.74  0.21  0.30   -0.52  0.17  0.26   3  3      2.59  0.15  0.20   -0.39  0.14  0.23   5  5      5.09  0.14  0.20    0.00  0.14  0.22  55 54      2.54  0.17  0.24    0.03  0.15  0.24   6  6      3.82  0.25  0.34   -0.02  0.20  0.29   4  4      2.26  0.13  0.20    0.07  0.14  0.25   2  2      0.24  0.19  0.26   -0.32  0.16  0.25   3  1     -0.42  0.18  0.22   -0.24  0.14  0.24   6  6      0.27  0.17  0.22    0.08  0.14  0.24   3  2     -0.42  0.23  0.34   -0.13  0.20  0.30   2  1     -1.21  0.18  0.22    0.03  0.14  0.25   6  5     -0.85  0.18  0.24   -0.01  0.14  0.27  10  3     -0.80  0.18  0.23    0.11  0.14  0.25   9  6     -1.00  0.18  0.23    0.40  0.14  0.25   8  2     -1.38  0.17  0.22    0.52  0.14  0.25   4  4
        HE0447-4858       18  5995   100  3.86  0.27  0.37 -1.69  0.12  0.18  1.35  0.19  0.29      6.74  0.17  0.24    0.04  0.18  0.27   1  1      6.14  0.12  0.18    0.24  0.15  0.24   7  2      3.97  0.24  0.31   -0.81  0.25  0.32   1  1      4.91  0.12  0.20    0.24  0.15  0.25   9  2      1.67  0.18  0.23    0.19  0.18  0.28   5  2      3.62  0.17  0.22    0.28  0.17  0.26  17  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      4.07  0.21  0.28    0.09  0.22  0.28   3  2      3.39  0.14  0.20   -0.31  0.16  0.24   5  1      5.81  0.12  0.18    0.00  0.14  0.22  55 18     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      4.90  0.37  0.43    0.33  0.41  0.45   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.95  0.14  0.22    0.67  0.16  0.25   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.89  0.22  0.28    0.45  0.23  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0450-4705       48  5429   100  3.34  0.28  0.38 -3.10  0.13  0.18  1.49  0.15  0.25      6.14  0.18  0.25    0.84  0.17  0.27   1  1      4.70  0.12  0.21    0.22  0.17  0.26   7  4      2.51  0.14  0.26   -0.86  0.21  0.30   1  1      3.48  0.12  0.20    0.21  0.15  0.25   9  3      0.06  0.18  0.23   -0.01  0.17  0.26   5  1      2.16  0.15  0.20    0.24  0.15  0.24  17  7     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.34  0.16  0.21   -0.24  0.15  0.23   3  3      2.04  0.17  0.21   -0.25  0.16  0.23   5  2      4.40  0.13  0.18    0.00  0.14  0.22  55 34      2.13  0.16  0.22    0.31  0.15  0.25   6  4      3.52  0.16  0.23    0.36  0.16  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.61  0.21  0.29   -0.48  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0
        HE0454-4758       77  5388   100  3.33  0.25  0.35 -3.10  0.13  0.18  1.49  0.13  0.23      5.72  0.18  0.25    0.44  0.17  0.27   1  1      4.77  0.11  0.20    0.29  0.17  0.26   7  4      2.43  0.18  0.24   -0.94  0.16  0.26   1  1      3.54  0.11  0.20    0.28  0.15  0.25   9  6      0.18  0.18  0.23    0.11  0.16  0.25   5  2      2.24  0.16  0.21    0.32  0.15  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.22  0.17  0.21   -0.35  0.16  0.23   3  2      1.59  0.16  0.21   -0.70  0.15  0.23   5  3      4.40  0.13  0.18    0.00  0.14  0.22  55 39      2.15  0.15  0.21    0.33  0.15  0.24   6  5      3.22  0.16  0.21    0.07  0.15  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.49  0.20  0.28   -0.36  0.18  0.28   3  2     -0.97  0.19  0.24   -0.11  0.17  0.26   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.66  0.19  0.23   -0.69  0.16  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0501-5139       21  5861   100  3.54  0.26  0.36 -2.38  0.14  0.19  1.49  0.16  0.26      6.41  0.18  0.24    0.40  0.18  0.28   1  1      5.39  0.12  0.18    0.19  0.16  0.24   7  1     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      4.32  0.12  0.20    0.34  0.15  0.25   9  1      0.88  0.18  0.23    0.09  0.15  0.24   5  1      3.03  0.16  0.21    0.39  0.15  0.23  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.05  0.17  0.23   -0.24  0.16  0.24   3  2      2.44  0.16  0.21   -0.57  0.15  0.23   5  1      5.12  0.14  0.19    0.00  0.14  0.22  55 18     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.74  0.20  0.25   -0.13  0.19  0.26   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.46  0.26  0.35   -0.13  0.23  0.33   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0501-5644       41  5033   100  2.30  0.25  0.35 -2.41  0.12  0.19  1.76  0.13  0.23      6.26  0.20  0.26    0.27  0.19  0.27   1  1      5.47  0.12  0.18    0.29  0.15  0.23   7  6      3.33  0.18  0.27   -0.74  0.20  0.28   1  1      4.24  0.13  0.21    0.28  0.14  0.25   9  8      0.91  0.17  0.23    0.15  0.16  0.25   5  5      2.78  0.16  0.21    0.16  0.15  0.24  17 16      1.54  0.16  0.20   -0.06  0.16  0.24   3  1      3.06  0.19  0.29   -0.20  0.18  0.27   3  3      2.63  0.15  0.20   -0.36  0.15  0.23   5  3      5.10  0.12  0.19    0.00  0.14  0.22  55 52      2.60  0.16  0.23    0.08  0.16  0.25   6  6      3.59  0.21  0.30   -0.25  0.20  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.41  0.20  0.29   -0.16  0.20  0.29   3  1     -0.34  0.19  0.23   -0.17  0.17  0.26   6  3      0.64  0.18  0.23    0.44  0.16  0.26   3  1     -0.72  0.23  0.29   -0.45  0.21  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.59  0.18  0.23    0.30  0.16  0.26   4  3
        HE0512-3835       41  4948   100  2.01  0.25  0.35 -2.40  0.12  0.19  1.90  0.14  0.24      5.77  0.21  0.26   -0.22  0.21  0.29   1  1      5.52  0.12  0.19    0.33  0.15  0.24   7  5      3.63  0.18  0.27   -0.44  0.19  0.27   1  1      4.28  0.12  0.21    0.31  0.15  0.25   9  8      0.96  0.18  0.23    0.19  0.17  0.26   5  5      2.94  0.17  0.22    0.31  0.16  0.24  17 17     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.03  0.18  0.29   -0.25  0.18  0.26   3  3      2.65  0.14  0.20   -0.35  0.15  0.23   5  3      5.11  0.12  0.19    0.00  0.14  0.22  55 53      2.53  0.16  0.23   -0.00  0.16  0.25   6  6      3.52  0.21  0.30   -0.34  0.20  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.61  0.18  0.25    0.03  0.17  0.26   3  2     -0.40  0.19  0.23   -0.25  0.17  0.27   6  3      0.45  0.18  0.23    0.24  0.17  0.27   3  1     -0.37  0.23  0.30   -0.11  0.21  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.51  0.18  0.23    0.37  0.17  0.28   4  3
        HE0513-4557       19  5629   100  3.62  0.28  0.38 -2.79  0.13  0.18  1.44  0.20  0.30      5.99  0.18  0.25    0.39  0.18  0.27   1  1      5.13  0.12  0.18    0.34  0.15  0.24   7  1     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      3.78  0.12  0.20    0.21  0.15  0.25   9  1     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0     -9.99  0.00  0.00   -9.99  0.00  0.00  17  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.71  0.13  0.18    0.00  0.14  0.22  55 10     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.19  0.23  0.32    0.01  0.21  0.30   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0516-3820       51  5342   100  3.05  0.24  0.34 -2.33  0.12  0.18  1.48  0.13  0.23      6.46  0.19  0.25    0.39  0.18  0.26   1  1      5.48  0.11  0.18    0.22  0.15  0.23   7  5      3.03  0.18  0.26   -1.12  0.20  0.28   1  1      4.28  0.11  0.20    0.24  0.14  0.24   9  8      0.92  0.18  0.23    0.07  0.16  0.26   5  4      2.92  0.15  0.20    0.22  0.15  0.24  17 15      1.70  0.16  0.20    0.03  0.16  0.24   3  1      3.26  0.16  0.26   -0.08  0.17  0.26   3  3      2.82  0.15  0.20   -0.25  0.15  0.23   5  4      5.18  0.12  0.18    0.00  0.14  0.22  55 54      2.70  0.17  0.23    0.10  0.16  0.25   6  6      3.80  0.19  0.27   -0.12  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.69  0.16  0.24    0.05  0.16  0.25   3  2     -0.08  0.19  0.23    0.00  0.17  0.26   6  3      0.69  0.19  0.23    0.41  0.17  0.27   3  1     -0.30  0.23  0.29   -0.11  0.21  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.22  0.19  0.24    0.60  0.17  0.27   9  1     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.15  0.18  0.23    0.67  0.16  0.27   4  3
        HE0517-1952       69  5254   100  1.99  0.25  0.35 -2.61  0.14  0.19  2.09  0.12  0.22      5.26  0.20  0.26   -0.52  0.19  0.29   1  1      5.17  0.12  0.18    0.20  0.15  0.24   7  7      3.01  0.16  0.24   -0.84  0.16  0.26   1  1      4.01  0.11  0.19    0.27  0.15  0.25   9  8      0.66  0.18  0.23    0.10  0.15  0.23   5  5      2.65  0.17  0.22    0.24  0.15  0.23  17 15      1.39  0.15  0.20    0.00  0.15  0.23   3  1      2.66  0.18  0.23   -0.40  0.15  0.23   3  3      2.14  0.16  0.21   -0.64  0.15  0.23   5  3      4.89  0.14  0.19    0.00  0.14  0.22  55 52      2.44  0.15  0.22    0.13  0.15  0.24   6  6      3.59  0.15  0.23   -0.05  0.15  0.24   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.33  0.22  0.33   -0.03  0.19  0.30   3  2     -0.64  0.18  0.23   -0.27  0.15  0.23   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.86  0.21  0.25   -0.38  0.17  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0519-5525       26  5580   100  3.48  0.27  0.37 -2.52  0.12  0.18  1.45  0.16  0.26      6.16  0.18  0.25    0.29  0.17  0.26   1  1      5.47  0.12  0.18    0.41  0.15  0.23   7  1      3.20  0.18  0.26   -0.76  0.20  0.28   1  1      4.21  0.12  0.20    0.37  0.15  0.24   9  3      0.74  0.19  0.24    0.08  0.17  0.26   5  1      2.87  0.17  0.22    0.37  0.16  0.24  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.96  0.18  0.24   -0.19  0.17  0.25   3  3      2.34  0.17  0.22   -0.53  0.16  0.24   5  2      4.98  0.12  0.18    0.00  0.14  0.22  55 29     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.86  0.23  0.30    0.13  0.22  0.30   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.64  0.20  0.29    0.18  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.58  0.20  0.25   -0.20  0.19  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0520-1748       72  5272   100  3.06  0.24  0.34 -2.52  0.12  0.18  1.46  0.12  0.22      6.32  0.19  0.25    0.45  0.17  0.26   1  1      5.30  0.11  0.18    0.24  0.15  0.23   7  6      2.88  0.14  0.23   -1.07  0.16  0.25   1  1      4.10  0.12  0.20    0.26  0.14  0.24   9  8      0.70  0.18  0.23    0.05  0.16  0.26   5  4      2.75  0.16  0.21    0.26  0.15  0.24  17 16     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.06  0.15  0.24   -0.09  0.16  0.25   3  3      2.66  0.12  0.20   -0.21  0.15  0.23   5  4      4.98  0.12  0.18    0.00  0.14  0.22  55 52      2.53  0.16  0.22    0.13  0.15  0.25   6  5      3.66  0.16  0.25   -0.07  0.17  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.09  0.23  0.33   -0.54  0.22  0.33   3  2     -0.61  0.19  0.23   -0.33  0.16  0.26   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.98  0.19  0.24   -0.58  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE0524-2055       66  4739   100  1.57  0.24  0.34 -2.58  0.12  0.19  1.95  0.12  0.22      5.56  0.21  0.26   -0.25  0.19  0.28   1  1      5.32  0.11  0.18    0.32  0.15  0.24   7  6      3.59  0.14  0.24   -0.29  0.16  0.25   1  1      4.01  0.12  0.20    0.24  0.15  0.25   9  8      0.63  0.18  0.23    0.05  0.15  0.25   5  5      2.64  0.16  0.21    0.21  0.15  0.23  17 17      1.30  0.16  0.20   -0.11  0.15  0.24   3  3      2.77  0.17  0.28   -0.32  0.16  0.26   3  3      2.36  0.15  0.20   -0.45  0.15  0.23   5  5      4.91  0.12  0.19    0.00  0.14  0.22  55 54      2.43  0.16  0.23    0.10  0.15  0.24   6  6      3.66  0.19  0.29   -0.01  0.18  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.51  0.16  0.23    0.13  0.15  0.25   3  1     -0.56  0.18  0.22   -0.21  0.15  0.25   6  6      0.28  0.17  0.22    0.27  0.15  0.25   3  2     -0.39  0.21  0.31    0.07  0.20  0.29   2  1     -1.33  0.18  0.22    0.08  0.15  0.25   6  4     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -0.89  0.18  0.23    0.20  0.15  0.25   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.59  0.18  0.22    0.49  0.15  0.25   4  4
